Group,Day,Tank,ZT,
Experiment,5,1,11,27.66111111
Experiment,5,2,11,29.20277778
Experiment,5,3,11,29.35277778
Experiment,6,1,11,28.61666667
Experiment,6,2,11,28.81388889
Experiment,6,3,11,29.38333333
Experiment,7,1,11,27.79444444
Experiment,7,2,11,27.94166667
Experiment,7,3,11,30.48333333
Experiment,8,1,11,28.16666667
Experiment,8,2,11,28.46388889
Experiment,8,3,11,29.19166667
Experiment,9,1,11,28.55555556
Experiment,9,2,11,28.14444444
Experiment,9,3,11,29.43333333
Experiment,10,1,11,28.42777778
Experiment,10,2,11,27.86666667
Experiment,10,3,11,29.59166667
Experiment,11,1,11,27.98888889
Experiment,11,2,11,27.91111111
Experiment,1,1,12,27.94444444
Experiment,1,2,12,28.50555556
Experiment,1,3,12,27.73611111
Experiment,2,1,12,27.89722222
Experiment,2,2,12,27.86111111
Experiment,2,3,12,28.23611111
Experiment,3,1,12,27.48611111
Experiment,3,2,12,27.55833333
Experiment,3,3,12,28.25833333
Experiment,4,1,12,27.3
Experiment,4,2,12,27.60833333
Experiment,4,3,12,27.74722222
Experiment,5,1,12,27.22777778
Experiment,5,2,12,28.35277778
Experiment,5,3,12,27.21111111
Experiment,6,1,12,27.30833333
Experiment,6,2,12,27.26111111
Experiment,6,3,12,27.77777778
Experiment,7,1,12,27.62777778
Experiment,7,2,12,27.44444444
Experiment,7,3,12,28.10833333
Experiment,8,1,12,27.29166667
Experiment,8,2,12,27.74166667
Experiment,8,3,12,28.02222222
Experiment,9,1,12,28.13611111
Experiment,9,2,12,27.75277778
Experiment,9,3,12,28.10555556
Experiment,10,1,12,27.94444444
Experiment,10,2,12,27.13888889
Experiment,10,3,12,28.18055556
Experiment,11,1,12,27.38611111
Experiment,11,2,12,27.47222222
Experiment,1,1,13,27.71111111
Experiment,1,2,13,28.08055556
Experiment,1,3,13,27.54722222
Experiment,2,1,13,27.52222222
Experiment,2,2,13,27.76111111
Experiment,2,3,13,27.78611111
Experiment,3,1,13,27.44166667
Experiment,3,2,13,27.56111111
Experiment,3,3,13,28.00277778
Experiment,4,1,13,27.5
Experiment,4,2,13,27.36111111
Experiment,4,3,13,27.96111111
Experiment,5,1,13,27.03611111
Experiment,5,2,13,28.15555556
Experiment,5,3,13,27.41666667
Experiment,6,1,13,27.05555556
Experiment,6,2,13,26.75277778
Experiment,6,3,13,27.43888889
Experiment,7,1,13,27.38055556
Experiment,7,2,13,27.44444444
Experiment,7,3,13,28.01111111
Experiment,8,1,13,27.35833333
Experiment,8,2,13,27.33888889
Experiment,8,3,13,27.80555556
Experiment,9,1,13,28.09166667
Experiment,9,2,13,27.42777778
Experiment,9,3,13,27.93055556
Experiment,10,1,13,27.81944444
Experiment,10,2,13,27.02777778
Experiment,10,3,13,28.01944444
Experiment,11,1,13,27.50833333
Experiment,11,2,13,27.25
Experiment,1,1,14,27.94722222
Experiment,1,2,14,27.90555556
Experiment,1,3,14,27.33055556
Experiment,2,1,14,27.46944444
Experiment,2,2,14,27.46388889
Experiment,2,3,14,27.84722222
Experiment,3,1,14,27.45277778
Experiment,3,2,14,27.35277778
Experiment,3,3,14,27.57777778
Experiment,4,1,14,27.27777778
Experiment,4,2,14,27.48611111
Experiment,4,3,14,27.90555556
Experiment,5,1,14,26.97777778
Experiment,5,2,14,27.66388889
Experiment,5,3,14,27.33888889
Experiment,6,1,14,26.89722222
Experiment,6,2,14,26.625
Experiment,6,3,14,27.42777778
Experiment,7,1,14,26.9
Experiment,7,2,14,27.38055556
Experiment,7,3,14,28.30555556
Experiment,8,1,14,27.21944444
Experiment,8,2,14,27.36388889
Experiment,8,3,14,27.77222222
Experiment,9,1,14,28.00833333
Experiment,9,2,14,26.73055556
Experiment,9,3,14,28.16111111
Experiment,10,1,14,27.40833333
Experiment,10,2,14,27.42222222
Experiment,10,3,14,27.75
Experiment,11,1,14,27.225
Experiment,11,2,14,27.24722222
Experiment,1,1,15,27.49444444
Experiment,1,2,15,27.31944444
Experiment,1,3,15,27.26944444
Experiment,2,1,15,27.66111111
Experiment,2,2,15,27.68611111
Experiment,2,3,15,27.86944444
Experiment,3,1,15,27.45555556
Experiment,3,2,15,26.97222222
Experiment,3,3,15,27.65277778
Experiment,4,1,15,27.31111111
Experiment,4,2,15,27.10833333
Experiment,4,3,15,27.75555556
Experiment,5,1,15,26.74722222
Experiment,5,2,15,28.10833333
Experiment,5,3,15,27.31944444
Experiment,6,1,15,27.13055556
Experiment,6,2,15,26.93333333
Experiment,6,3,15,27.50833333
Experiment,7,1,15,26.85555556
Experiment,7,2,15,27.48055556
Experiment,7,3,15,28.05555556
Experiment,8,1,15,27.01666667
Experiment,8,2,15,27.425
Experiment,8,3,15,27.61111111
Experiment,9,1,15,27.77222222
Experiment,9,2,15,26.42222222
Experiment,9,3,15,28.05277778
Experiment,10,1,15,27.08611111
Experiment,10,2,15,26.89444444
Experiment,10,3,15,27.74166667
Experiment,11,1,15,26.97222222
Experiment,11,2,15,26.95277778
Experiment,1,1,16,27.26111111
Experiment,1,2,16,27.22777778
Experiment,1,3,16,27.62777778
Experiment,2,1,16,27.16666667
Experiment,2,2,16,27.24964158
Experiment,2,3,16,28.21111111
Experiment,3,1,16,27.20555556
Experiment,3,2,16,26.76111111
Experiment,3,3,16,27.56111111
